,h2,ch4,c2h6,c2h4,c2h2,act
55,289.0,9.0,0.0001,0.03,0.0001,1
56,179.0,23.0,13.0,4.0,3.0,1
57,2177.0,49.0,9.0,7.0,0.6,1
58,7600.0,13.0,267.0,0.0001,0.0001,1
59,543.0,22.0,76.0,3.7,0.0001,1
60,186.0,3.0,1.0,0.0001,0.0001,1
61,4.1,3600.0,670.0,14.0,0.0001,1
62,210.0,110.0,3.0,84.0,700.0,1
63,254.0,149.0,20.0,3.0,0.0001,1
64,385.0,18342.0,2111.0,27.0,0.0001,1
65,843.0,123.0,38.0,2.0,2.0,1
66,208.0,53.0,35.0,20.0,0.0001,1
67,65.5,6.75,0.44,0.0001,0.0001,1
68,35.0,5.0,1.0,0.0001,0.0001,1
69,3559.0,19.4,104.1,6.4,3.8,1
70,10092.0,7.01,4.49,2.64,0.0001,1
71,1900.0,5.3,0.0001,0.0001,0.0001,1
72,307.0,5.0,1.0,6.0,29.0,1
73,225.0,360.0,25.0,169.0,828.0,1
74,78.0,2313.0,121.0,2159.0,6432.0,2
75,266.0,20.0,5.0,28.0,96.0,2
76,645.0,20.0,3.9,8.13,25.1,2
77,119.0,5.8,16.0,10.6,26.3,2
78,57.0,17.1,2.2,5.5,30.1,2
79,14.2,25.0,1.0,8.0,40.0,2
80,818.0,6.0,11.4,6.4,16.5,2
81,115.0,63.0,54.0,10.0,0.3,2
82,205.0,262.0,15.0,332.0,1827.0,2
83,101.72,5.78,4.7,9.7,5.0,2
84,135.0,7.1,3.3,20.0,6.8,2
85,47.5,13.4,18.2,49.8,36.3,2
86,6870.0,29.0,10.0,17.0,33.0,2
87,119.0,1049.0,207.0,440.0,705.0,2
88,60.0,1230.0,318.0,836.0,1560.0,2
89,385.0,120.0,41.0,411.0,1880.0,2
90,5.26,38.3,13.0,37.0,85.9,2
91,2510.0,3.5,0.68,1.2,5.2,2
92,650.0,22.0,6.0,6.0,7.0,2
93,153.0,5.2,0.0001,9.3,88.0,2
94,1790.0,28.8,50.0,82.3,171.0,2
95,256.0,133.0,12.0,168.0,385.0,2
96,60.0,7.6,27.5,9.7,14.4,2
97,151.0,23.3,1.0,2.1,26.0,2
98,9.0,6.0,3.0,26.0,482.0,2
99,274.0,187.0,22.0,230.0,1140.0,2
100,305.0,5399.0,530.0,6500.0,37565.0,2
101,176.0,285.0,31.0,957.0,7730.0,2
102,87.0,22.0,2.0,33.0,109.0,2
103,220.0,4.7,0.0001,8.7,89.0,2
104,274.0,20.0,11.0,13.0,28.0,2
105,155.0,30.2,4.9,26.2,60.2,2
106,137.0,86.0,13.0,110.0,317.0,2
107,63.0,8.0,23.3,7.9,12.3,2
108,292.0,24.0,2.0,27.0,30.0,2
109,217.0,4.0,1.4,1.5,9.51,2
110,13500.0,94.0,49.0,121.0,978.0,2
111,88.5,25.5,110.0,12.2,8.6,2
112,50.0,20.0,8.0,0.0001,6.0,2
113,60.0,27.65,7.13,16.92,53.87,2
114,25.0,27.0,24.0,9.0,13.0,2
115,37.9,22.9,4.5,9.6,15.3,2
116,18.34,1028.0,79.0,900.0,5500.0,2
117,1084.0,8.0,20.0,0.0001,21.0,2
118,497.0,10.0,4.0,4.0,4.0,2
119,32.4,60.0,8.0,53.0,159.0,2
120,19.0,0.0001,0.0001,28.2,66.4,2
121,210.0,202.0,139.0,208.0,1730.0,2
122,26.0,81.0,170.0,51.0,270.0,2
123,114.0,18.0,9.0,0.0001,278.0,2
124,7150.0,580.0,321.0,336.0,619.0,2
125,8.0,8.0,37.4,15.0,21.1,2
126,1607.0,10.0,0.0001,11.0,39.0,2
127,46.0,13.5,50.7,5.0,9.2,2
128,1027.0,3.9,0.8,4.0,13.0,2
129,37.0,27.0,5.0,33.0,97.0,2
130,200.0,100.0,33.0,161.0,541.0,2
131,392.0,652.9,47.7,75.7,68.7,2
132,12.4,7.0,0.0001,15.0,101.0,2
133,71.0,19.0,5.0,12.0,59.0,2
134,127.0,0.0001,0.0001,43.0,101.0,2
135,800.0,38.0,48.5,6.5,5.8,2
136,212.0,4.0,1.3,1.5,9.5,2
137,8200.0,14.0,4.0,0.0001,13.0,2
138,2800.0,27.0,6.0,12.0,29.0,2
139,195.7,39.3,64.0,654.0,168.0,2
140,235.0,10.0,3.0,1.0,1.0,2
141,441.0,1.0,2.0,7.0,52.0,2
142,110.0,10.0,20.0,66.0,182.0,2
143,88.0,33.0,8.0,29.0,111.0,2
144,531.0,32.0,4.0,18.0,65.0,2
145,9474.0,334.1,75.0,32.0,31.0,2
146,152.0,7.1,33.0,20.0,6.8,2
147,150.0,690.0,5.0,196.0,1180.0,2
148,75.0,17.0,4.0,7.0,38.0,2
149,43.0,26.0,7.0,19.0,133.0,2
150,1114.0,121.3,25.5,31.9,198.5,2
151,35.0,28.0,27.0,36.0,148.0,2
152,629.0,112.3,27.5,51.5,58.8,2
153,7940.0,30.28,6.11,47.69,175.88,2
154,7020.0,18.0,9.0,0.0001,11.0,2
155,151.0,163.0,27.0,233.0,692.0,2
156,2.0,2.8,47.0,0.0001,27.5,2
157,75.5,97.0,193.0,40.0,121.0,2
158,17.0,500.0,1.0,400.0,500.0,2
159,156.0,80.0,9.0,89.0,244.0,2
160,21.0,6.0,6.0,7.0,10.0,2
161,64.0,60.0,14.0,93.0,218.0,2
162,25.0,8.89,1.88,12.67,36.2,2
163,2770.0,10.0,0.0001,11.0,39.0,2
164,4419.0,267.0,18.0,355.0,2060.0,2
165,1500.0,34.0,23.0,15.0,60.0,3
166,10.0,77.0,22.0,170.0,240.0,3
167,1570.0,27.0,5.0,33.0,97.0,3
168,22.0,49.0,69.3,42.0,10.7,3
169,1249.0,67.0,7.0,53.0,104.0,3
170,1900.0,22.0,15.0,11.0,76.0,3
171,5900.0,346.0,32.0,313.0,196.0,3
172,3700.0,286.0,14.0,458.0,884.0,3
173,75.0,6110.0,212.0,4510.0,4040.0,3
174,323.0,22.8,108.4,12.0,7.5,3
175,127.0,42.0,98.0,10.0,33.0,3
176,3090.0,5.0,2.0,21.0,32.0,3
177,48.0,9.0,6.0,5.0,44.0,3
178,60.0,7.7,2.16,18.4,33.7,3
179,30.0,16.26,3.38,17.95,16.42,3
180,7020.0,188.0,8.0,166.0,769.0,3
181,1170.0,230.0,51.0,151.0,122.0,3
182,858.0,5.5,1.4,12.6,13.2,3
183,14.3,12.0,2.0,8.0,63.0,3
184,57.0,43.0,12.0,102.0,187.0,3
185,260.0,68.0,93.0,31.0,59.0,3
186,215.0,41.0,27.0,15.0,42.0,3
187,440.0,1440.0,97.0,1210.0,1760.0,3
188,77.0,0.0001,0.0001,43.0,101.0,3
189,60.0,615.0,80.0,916.0,1294.0,3
190,594.0,20.0,14.0,10.0,42.0,3
191,1820.0,185.0,17.0,271.0,399.0,3
192,123.0,11.8,15.5,43.6,83.3,3
193,90.0,48.0,14.0,117.0,131.0,3
194,26.6,153.0,82.0,45.0,236.0,3
195,46.0,6.5,15.3,69.0,15.0,3
196,13.0,151.0,9.0,89.0,412.0,3
197,305.0,24.0,0.0001,32.0,81.0,3
198,75.0,160.0,23.0,260.0,600.0,3
199,307.0,38.0,15.0,47.0,78.0,3
200,0.0001,3790.0,250.0,4620.0,277.0,3
201,88.0,2800.0,234.0,3500.0,3600.0,3
202,80.0,58.0,16.4,91.6,96.9,3
203,755.0,39.45,9.63,210.0,257.0,3
204,530.0,207.0,43.0,224.0,261.0,3
205,310.0,62.0,90.0,140.0,250.0,3
206,620.0,21.8,79.2,41.2,41.5,3
207,4906.0,111.9,22.7,122.5,169.0,3
208,85.0,4066.0,353.0,6552.0,12997.0,3
209,12.0,116.0,7.0,131.0,414.0,3
210,36.0,130.0,9.0,55.0,30.0,3
211,24.0,15.0,7.0,14.0,250.0,3
212,54.9,19.0,3.0,0.0001,40.0,3
213,112.0,719.0,188.0,1217.0,699.0,3
214,7.0,11.0,0.0001,7.0,146.0,3
215,219.0,402.0,16.0,298.0,1127.0,3
216,39.4,2000.0,355.0,3120.0,5390.0,3
217,95.0,1850.0,0.0001,2960.0,4410.0,3
218,0.0001,51.0,16.0,12.0,19.0,3
219,121.0,41.0,133.0,9.0,21.0,3
220,74.0,30.2,2.33,30.3,18.2,3
221,13.0,42.0,192.0,12.0,20.0,3
222,13.0,55.0,103.0,13.0,16.0,3
223,36.0,34.0,5.0,47.0,62.0,3
224,9.0,18.0,1.0,4.0,122.0,3
225,0.0001,28.0,27.0,15.0,80.0,3
226,820.0,660.0,54.0,712.0,763.0,3
227,10.0,3564.0,668.0,2861.0,2025.0,3
228,12.0,395.0,28.0,395.0,323.0,3
229,10.0,15.0,0.0001,0.0001,35.0,3
230,143.2,1110.0,175.0,1780.0,1830.0,3
231,18.0,14.0,19.0,6.0,56.0,3
232,27.0,370.0,56.0,606.0,1371.0,3
233,34.0,530.0,35.0,383.0,434.0,3
234,113.0,1500.0,68.0,1200.0,2300.0,3
235,45.0,1690.0,128.0,2810.0,3270.0,3
236,78.0,5.0,31.0,69.0,36.0,3
237,55.0,115.0,7.0,130.0,446.0,3
238,10.0,107.0,11.0,154.0,224.0,3
239,11.0,5020.0,323.0,3800.0,2540.0,3
240,34.0,20.0,69.0,41.0,31.0,3
241,187.0,5.0,2.0,21.0,21.0,3
242,93.5,14.0,1.0,9.0,43.0,3
243,48.0,1850.0,0.0001,2960.0,4410.0,3
244,124.0,255.0,18.0,312.0,325.0,3
245,8.0,1324.0,208.0,2793.0,7672.0,3
246,320.0,92.6,83.9,16.7,26.8,3
247,92.0,148.0,197.0,72.0,42.0,3
248,900.0,215.0,35.0,334.0,277.0,3
249,6.0,84.8,87.7,1002.0,212.0,3
250,0.0001,89.0,19.0,304.0,757.0,3
251,78.0,36.0,27.0,18.0,76.0,3
252,130.0,85.0,5.0,67.0,227.0,3
253,10.0,230.0,44.0,130.0,102.0,3
254,0.0001,405.0,35.0,365.0,634.0,3
255,19.0,50.7,9.0,62.0,65.9,3
256,6.0,28.0,8.0,31.0,32.0,3
257,11.0,4.0,0.0001,8.0,50.0,3
258,27.0,21.0,1.0,11.0,93.0,3
259,103.0,3.0,1.0,3.0,6.0,3
260,31.2,85.0,25.0,197.0,130.0,3
261,0.0001,15.0,7.0,14.0,26.0,3
262,6.0,22.0,2.0,33.0,109.0,3
263,181.0,21.0,0.0001,0.0001,40.0,3
264,14.0,45.0,57.0,15.0,39.0,3
265,1.0,28.0,4.0,15.0,107.0,3
266,50.0,229.0,32.0,404.0,460.0,3
267,21.0,345.0,85.0,266.0,250.0,3
268,160.0,230.0,54.0,610.0,760.0,3
269,16.0,325.0,38.0,181.0,244.0,3
270,122.0,8784.0,1404.0,9924.0,9671.0,3
271,4.0,735.0,87.0,1330.0,1740.0,3
272,157.0,1393.0,304.0,2817.0,3000.0,3
273,38.0,11.4,1.41,20.34,37.6,3
274,24.7,120.0,18.0,131.0,167.0,3
275,74.8,21.0,2.0,26.0,89.0,3
276,33.0,170.0,20.0,200.0,190.0,3
277,74.0,127.0,20.0,122.0,588.0,3
278,5.0,1115.0,138.0,1987.0,3675.0,3
279,181.0,87.0,11.5,163.59,185.21,3
280,36.0,333.59,177.52,1201.85,148.87,3
281,505.57,31.0,0.0001,66.0,94.0,3
282,25.0,200.0,42.0,102.0,68.0,3
283,14.0,13.0,5.0,43.0,319.0,3
284,180.0,10.0,1.3,13.5,17.6,3
285,59.0,49.0,4.0,50.0,399.0,3
286,185.0,1500.0,68.0,1200.0,800.0,3
287,1270.0,21.0,4.0,49.0,56.0,3
288,119.0,195.8,32.6,187.3,221.2,3
289,72.0,62.0,27.0,123.0,71.0,3
290,16.0,3790.0,250.0,4620.0,5830.0,3
291,41.0,0.0001,10.0,5.0,35.0,3
292,110.6,345.0,85.0,266.0,21.0,3
293,200.0,88.0,213.0,14.0,35.0,3
294,15.0,20.0,120.0,5.5,8.9,3
295,18.0,580.0,111.0,570.0,490.0,3
296,54.0,20.2,70.0,39.0,40.2,3
297,43.0,40.0,6.9,110.0,70.0,3
298,73.0,6.0,1.0,14.0,86.0,3
299,57.0,40.65,9.37,34.02,59.71,3
300,15.0,1200.0,83.0,1000.0,1100.0,3
301,23.51,13000.0,1850.0,29000.0,57000.0,3
302,2.0,6730.0,345.0,7330.0,10400.0,3
303,24.0,250.0,41.0,530.0,800.0,3
304,613.0,4.0,91.0,0.0001,34.0,3
305,109.0,9.0,4.0,16.0,81.0,3
306,35.0,31.0,0.0001,66.0,94.0,3
307,2.0,1430.0,0.0001,1140.0,1010.0,3
308,30.4,160.0,16.0,305.0,680.0,3
309,0.0001,16.0,19.0,58.0,106.0,3
310,2004.0,26.1,10.1,41.6,57.8,3
311,31.0,130.0,16.0,153.0,239.0,3
312,26.0,0.0001,0.0001,0.0001,44.0,3
313,152.0,15.0,3.1,23.0,25.3,3
314,300.0,98.0,315.0,30.0,0.0001,4
315,960.0,28.0,102.0,3.0,0.0001,4
316,0.67,167.0,230.0,18.0,0.0001,4
317,0.0001,47.0,113.0,10.0,0.0001,4
318,24.0,8.8,80.0,2.5,0.0001,4
319,220.0,68.0,136.0,9.0,0.0001,4
320,290.0,15.0,78.0,58.0,0.0001,4
321,8800.0,44.0,3.0,3.0,0.0001,4
322,39.0,65.2,103.9,8.1,0.0001,4
323,290.0,110.0,160.0,50.0,0.0001,4
324,0.0001,153.0,395.0,11.7,0.0001,4
325,15.55,73.0,179.0,11.0,0.0001,4
326,35.1,173.0,263.0,33.0,0.0001,4
327,0.0001,59.0,117.0,44.0,0.0001,4
328,156.0,138.0,83.0,16.0,0.0001,4
329,89.0,21.0,65.0,2.0,0.0001,4
330,1100.0,56.0,135.0,7.0,1.0,4
331,0.0001,187.0,609.0,13.0,0.0001,4
332,137.0,1740.0,951.0,867.0,128.0,4
333,425.0,56.0,72.0,70.0,0.0001,4
334,30.0,18.0,4.0,4.0,0.0001,4
335,107.0,26.0,147.0,6.0,0.0001,4
336,860.0,123.0,38.0,75.0,0.0001,4
337,0.0001,30.0,146.0,8.0,0.0001,4
338,8.0,28.0,136.0,8.0,0.0001,4
339,53.0,8.6,70.3,3.1,0.0001,4
340,400.0,137.0,173.0,34.0,0.0001,4
341,199.0,125.0,111.0,25.0,0.0001,4
342,244.0,66.0,62.0,2.6,0.0001,4
343,60.0,22.0,358.0,2.6,0.0001,4
344,6709.0,63.0,176.0,35.0,0.0001,4
345,86.0,271.0,465.0,32.0,0.0001,4
346,7.0,30.0,34.0,2.5,0.0001,4
347,300.0,86.0,155.0,21.0,6.0,4
348,20.0,131.9,39.0,11.7,0.0001,4
349,3910.0,40.0,11.0,0.5,0.0001,4
350,23.0,166.0,87.0,59.0,0.0001,4
351,135.65,16.0,88.0,7.0,0.0001,4
352,9.0,131.0,187.0,127.0,0.0001,4
353,8.0,27.0,67.0,7.0,0.0001,4
354,179.0,9180.0,0.0001,900.0,22.0,4
355,80.0,197.0,476.9,16.9,0.0001,4
356,416.0,215.0,555.0,18.4,0.0001,4
357,19.3,66.0,283.0,2.6,0.0001,4
358,137.0,140.0,24.0,120.0,0.0001,4
359,12705.0,24.0,80.0,5.0,0.0001,4
360,46.0,224.0,0.0001,45.0,0.0001,4
361,21.0,48.0,76.0,18.0,0.0001,4
362,165.62,38.0,93.0,32.0,0.0001,4
363,39.0,46.0,155.0,18.0,0.0001,4
364,86.0,49.0,192.0,9.0,0.0001,4
365,68.0,74.0,80.0,9.0,0.0001,4
366,172.9,8.9,119.0,4.4,0.0001,4
367,164.0,33.7,136.0,11.4,0.0001,4
368,20.0,3.0,0.8,0.7,0.0001,4
369,0.0001,262.0,41.0,28.0,0.0001,4
370,63.0,44.0,124.0,7.0,1.0,4
371,121.0,27.0,49.0,4.0,1.0,4
372,30.0,3.0,1.0,0.0001,0.0001,4
373,22400.0,14.0,191.0,90.0,0.0001,4
374,36.0,130.0,33.0,96.0,0.0001,4
375,17.0,68.0,157.0,19.0,0.0001,4
376,0.0001,161.0,271.0,35.0,0.0001,4
377,18.0,99.0,82.0,4.2,0.1,4
378,35.0,46.0,76.0,12.0,0.0001,4
379,6.0,38.0,296.0,14.0,0.0001,4
380,236.0,20.4,117.0,71.0,6.8,4
381,0.0001,30.1,82.3,13.6,0.0001,4
382,173.0,29.0,9.0,12.0,0.0001,4
383,110.0,100.0,85.0,17.0,0.0001,4
384,240.0,14.0,234.0,5.0,0.0001,4
385,5000.0,162.0,70.0,132.0,0.0001,4
386,94.96,94.0,78.0,13.0,2.0,4
387,41.0,475.35,242.3,524.45,3.29,4
388,100.0,38.0,210.0,13.0,0.0001,4
389,37800.0,38.0,93.0,8.0,0.0001,4
390,103.5,22.0,0.5,2.6,0.0001,4
391,200.0,7.0,92.0,5.0,0.0001,4
392,40280.0,14.0,124.0,7.0,1.0,4
393,116.0,130.0,47.0,2.0,0.0001,4
394,88.0,71.0,158.0,20.0,0.0001,4
395,105.0,21.0,118.0,0.0001,4.0,4
396,625.0,129.0,316.0,36.0,0.0001,4
397,134.0,18.7,97.4,79.5,4.7,4
398,181.5,44.0,106.0,28.0,0.0001,4
399,121.0,30.0,23.0,2.4,0.1,4
400,16000.0,132.0,61.0,17.0,0.0001,4
401,890.0,124.0,1.0,8.0,0.0001,4
402,2091.0,109.0,69.0,0.0001,0.0001,4
403,26788.0,68.0,124.0,15.0,0.0001,4
404,1950.0,45.5,68.7,3.8,0.0001,4
405,650.0,47.0,10.0,5.5,0.0001,4
406,92.8,8.0,2.5,2.5,0.0001,4
407,187.0,24.1,34.3,92.5,0.6,4
408,111.7,80.0,134.0,10.0,0.0001,4
409,85.87,60.0,2.0,7.0,0.0001,4
410,195.0,43.0,146.0,9.0,0.0001,4
411,60.0,73.18,27.14,56.88,0.0001,4
412,2240.0,35.0,213.0,17.0,0.0001,4
413,720.0,62.0,16.0,3.0,0.0001,4
414,109.0,123.0,67.0,52.0,0.0001,4
415,8.0,140.0,2.0,120.0,0.0001,4
416,169.0,28.0,72.0,9.0,0.0001,4
417,14.1,105.0,224.0,15.0,0.0001,4
418,124.0,62.0,95.0,5.0,0.0001,4
419,174.0,40.0,264.0,10.0,0.0001,4
420,179.0,174.0,267.0,15.0,0.0001,4
421,160.0,97.0,12.0,29.0,1.5,4
422,4.0,67.0,105.0,9.0,0.0001,4
423,1330.0,116.0,70.0,0.0001,0.0001,4
424,137.0,29.0,137.0,8.0,0.0001,4
425,595.0,49.0,42.0,58.0,0.0001,5
426,56.0,15.0,42.0,73.0,0.0001,5
427,716.0,175.0,75.0,50.0,4.0,5
428,4230.0,119.0,36.0,70.0,0.0001,5
429,142.0,302.0,27.0,33.0,0.0001,5
430,163.0,3450.0,520.0,1390.0,8.0,5
431,549.0,670.0,286.0,934.0,19.0,5
432,476.0,442.0,221.0,461.0,0.7,5
433,345.0,98.0,35.0,64.0,0.0001,5
434,234.5,65.0,22.0,58.0,0.0001,5
435,153.0,458.8,242.6,406.4,0.0001,5
436,1230.0,700.0,250.0,740.0,1.0,5
437,111.0,159.0,29.0,87.0,0.0001,5
438,500.0,63.0,20.0,51.0,0.0001,5
439,1000.0,143.0,23.0,101.0,0.0001,5
440,595.0,116.0,65.0,139.0,0.0001,5
441,102.0,177.0,37.0,52.0,0.0001,5
442,315.0,141.0,38.0,51.0,0.0001,5
443,67.8,139.0,160.0,343.0,0.0001,5
444,95.0,61.33,45.21,98.03,1.01,5
445,4127.0,123.0,7.0,18.0,0.0001,5
446,1570.0,80.0,258.0,741.0,6.0,5
447,800.0,3240.0,1432.0,2788.0,0.0001,5
448,29.1,226.0,68.0,192.0,0.0001,5
449,245.0,283.0,121.0,222.0,0.0001,5
450,61.0,5.0,81.0,172.0,0.0001,5
451,99.0,117.0,44.2,138.0,0.1,5
452,243.0,6.0,52.0,67.0,0.0001,5
453,2850.0,9739.0,2750.0,5113.0,0.0001,5
454,512.0,63.0,246.0,714.0,7.0,5
455,235.46,398.0,85.0,319.0,0.0001,5
456,120.0,32.0,28.0,55.0,0.0001,5
457,615.0,490.0,180.0,360.0,95.0,5
458,24.0,4000.0,1290.0,1560.0,6.0,5
459,56.0,0.224,0.045,0.067,0.002,5
460,85.0,4.9,81.0,172.0,0.0001,5
461,5900.0,34.6,14.2,21.7,0.0001,5
462,34.0,59.79,45.24,80.49,0.0001,5
463,475.3,47.0,27.0,62.0,0.0001,5
464,191.0,460.8,94.9,184.6,18.3,5
465,8200.0,78.0,266.0,779.0,7.0,5
466,0.0001,1.5,0.3,1.8,0.0001,5
467,530.0,610.0,259.0,260.0,9.0,5
468,4.0,56.0,33.0,77.0,0.0001,5
469,59.0,61000.0,26300.0,42100.0,1560.0,5
470,810.0,425.0,276.0,651.0,26.0,5
471,65.4,1466.0,331.0,1295.0,32.0,5
472,60.0,102.0,28.0,91.0,0.0001,5
473,84.0,120.0,90.0,198.0,3.0,5
474,145.88,1672.0,394.0,669.0,0.0001,5
475,5000.0,5.0,90.0,185.0,3.0,5
476,20000.0,41.9,20.2,44.2,0.38,5
477,10000.0,274.0,95.0,320.0,6.3,5
478,420.0,242.0,68.0,232.0,0.0001,5
479,70.0,161.6,94.1,193.6,0.56,5
480,47.0,96.0,19.0,57.0,0.0001,5
481,120.0,224.0,45.0,67.0,2.0,5
482,5100.0,90.0,42.0,63.0,0.2,5
483,535.0,419.0,269.5,614.1,0.35,5
484,41.0,130.0,33.0,96.0,0.1,5
485,65.0,340.0,42.0,480.0,14.0,6
486,545.0,966.0,299.0,1810.0,57.0,6
487,34.0,64064.0,72128.0,95650.0,0.0001,6
488,57.0,525.0,538.0,2925.0,16.0,6
489,161.0,1260.0,231.0,820.0,8.0,6
490,9.0,153.0,130.0,677.0,13.0,6
491,55.0,7.4,7.4,41.93,6.35,6
492,15.0,50.6,16.1,93.0,1.1,6
493,14.0,28.0,64.0,408.0,6.0,6
494,625.0,240.0,54.0,399.0,0.98,6
495,29.0,281.0,145.0,1216.0,22.0,6
496,17.0,1600.0,221.0,2010.0,26.0,6
497,115.0,0.0001,9.0,57.0,0.0001,6
498,13.2,369.0,144.0,1242.0,16.0,6
499,10.0,17424.0,7299.0,37043.0,158.0,6
500,27.0,25.5,31.5,93.0,1.8,6
501,20.0,143.0,34.0,222.0,2.0,6
502,42.0,1670.0,30.0,2050.0,40.0,6
503,24.0,106.0,170.0,871.0,6.0,6
504,16.0,1.0,0.0001,60.0,0.0001,6
505,16.4,150.0,64.0,379.0,0.0001,6
506,37.0,940.0,210.0,820.0,24.0,6
507,86.0,770.0,217.0,1508.0,72.0,6
508,29.9,754.0,172.0,1281.0,27.0,6
509,16.0,144.0,67.0,449.0,9.0,6
510,66.0,10500.0,1400.0,17700.0,750.0,6
511,0.0001,277.0,63.0,338.0,0.0001,6
512,87.2,31.0,23.0,148.0,0.0001,6
513,128.0,700.0,280.0,1700.0,36.0,6
514,14.0,26.0,6.0,55.0,0.0001,6
515,37.0,4290.0,626.0,6040.0,1230.0,6
516,130.0,14151.0,5332.0,23264.0,0.0001,6
517,43.0,278.53,58.86,492.0,2.95,6
518,16.0,47.0,144.0,628.0,0.0001,6
519,19.0,88.0,45.0,252.0,0.0001,6
520,79.0,306.0,73.0,579.0,0.0001,6
521,69.0,619.0,326.0,2480.0,0.0001,6
522,137.0,695.0,74.0,867.0,0.0001,6
523,111.0,103.0,159.0,19.0,0.6,6
524,0.0001,279.0,66.0,505.0,0.0001,6
525,25.0,23498.0,6047.0,34257.0,5188.0,6
526,20.37,147.0,27.0,150.0,0.0001,6
527,19.0,42.0,4.0,92.0,0.0001,6
528,88.7,240.95,61.32,514.53,13.53,6
529,24.0,7.0,12.0,65.0,0.0001,6
530,0.7,480.0,155.0,644.0,9.0,6
531,360.0,99.2,35.9,202.9,0.0001,6
532,31.0,334.0,172.0,812.5,37.7,6
533,24700.0,244.0,103.0,497.0,8.3,6
534,62.0,48.0,36.0,186.0,0.0001,6
535,295.0,0.0001,0.0001,142.0,0.0001,6
536,109.0,149.6,57.5,276.0,0.0001,6
537,47.0,450.0,146.0,898.0,116.0,6
538,144.0,51.0,12.0,54.0,0.0001,6
539,3.0,22400.0,2690.0,13440.0,1570.0,6
540,20.0,30.0,10.0,93.0,7.1,6
541,50.0,40.0,11.0,86.0,0.0001,6
542,151.0,3.4,0.0001,54.0,0.0001,6
543,46.9,35.0,2.0,110.0,0.0001,6
544,37.0,29.0,7.0,78.0,0.0001,6
545,670.0,2990.0,29990.0,26076.0,67.0,6
546,27.0,410.2,159.0,817.3,3.5,6
547,128.0,100.0,309.0,1365.0,7.0,6
548,160.0,334.0,172.0,812.5,37.7,6
549,172.0,335.0,171.0,812.0,37.8,6
550,1.0,8.0,8.0,100.0,6.0,6
551,507.0,1053.0,297.0,1440.0,17.0,6
552,24.0,20.0,4.0,87.0,0.0001,6
553,65.0,34.0,16.0,112.0,0.0001,6
554,4.0,2.0,1.0,63.0,0.0001,6
555,114.0,241.0,80.0,574.0,0.0001,6
556,117.0,167.0,48.0,481.0,7.0,6
557,11.0,13.0,2.0,127.0,0.0001,6
